Product_Name,Review_ID,User_Name,Review_Text,Rating,Is_Useful_In_India
Samsung Galaxy M14,1,Anjali,Too expensive for its features.,2,No
Samsung Galaxy M14,2,Arjun,Good for Indian households.,5,Yes
Samsung Galaxy M14,3,Rohit,"Great performance, highly recommended!",4,Yes
Samsung Galaxy M14,4,Pooja,Works perfectly in Indian conditions.,3,Yes
Samsung Galaxy M14,5,Arjun,"Great performance, highly recommended!",4,Yes
Samsung Galaxy M14,6,Priya,"Not durable, broke within a month.",2,No
Samsung Galaxy M14,7,Anjali,"Not durable, broke within a month.",2,No
Samsung Galaxy M14,8,Sneha,Works perfectly in Indian conditions.,5,Yes
Samsung Galaxy M14,9,Vikram,"Waste of money, not suitable for India.",1,No
Samsung Galaxy M14,10,Pooja,Not recommended for Indian users.,2,No
Samsung Galaxy M14,11,Vikram,Best product I have used so far.,4,Yes
Samsung Galaxy M14,12,Vikram,Very durable and long-lasting.,4,Yes
Samsung Galaxy M14,13,Rahul,Works perfectly in Indian conditions.,5,Yes
Samsung Galaxy M14,14,Neha,Product overheats in Indian climate.,1,No
Samsung Galaxy M14,15,Rahul,Product overheats in Indian climate.,1,No
Samsung Galaxy M14,16,Vikram,Best product I have used so far.,5,Yes
Samsung Galaxy M14,17,Rohit,"Not useful in India, poor quality.",1,No
Samsung Galaxy M14,18,Pooja,Very durable and long-lasting.,4,Yes
Samsung Galaxy M14,19,Anjali,Best product I have used so far.,5,Yes
Samsung Galaxy M14,20,Vikram,"Not useful in India, poor quality.",1,No
Samsung Galaxy M14,21,Rahul,Better alternatives are available.,2,No
Samsung Galaxy M14,22,Arjun,Too expensive for its features.,2,No
Samsung Galaxy M14,23,Vikram,Does not work well in Indian conditions.,2,No
Samsung Galaxy M14,24,Amit,"Not useful in India, poor quality.",2,No
Samsung Galaxy M14,25,Anjali,Not recommended for Indian users.,2,No
Samsung Galaxy M14,26,Sneha,Does not work well in Indian conditions.,2,No
Samsung Galaxy M14,27,Rohit,Not recommended for Indian users.,2,No
Samsung Galaxy M14,28,Pooja,Best product I have used so far.,5,Yes
Samsung Galaxy M14,29,Pooja,Not recommended for Indian users.,2,No
Samsung Galaxy M14,30,Neha,Best product I have used so far.,3,Yes
Samsung Galaxy M14,31,Arjun,"Not useful in India, poor quality.",2,No
